Time,AY,AX,AV,AH
81,6919185.711576922,362123.67982968164,56.52,-31.900000000000006
82,6919190.509623257,362120.691844228,56.55,-31.400000000000006
83,6919195.338260281,362117.7494532614,56.54,-30.799999999999997
84,6919200.195978742,362114.8558881192,56.52,-30.200000000000003
85,6919205.081478429,362112.0136453681,56.49,-29.599999999999994
86,6919209.9936412675,362109.22463031264,56.44,-29.0
87,6919214.931476967,362106.4905194594,56.39,-28.400000000000006
88,6919219.894143788,362103.8125468432,56.33,-27.700000000000003
89,6919224.880887796,362101.19183248986,56.28,-27.099999999999994
90,6919229.89112892,362098.62890425,56.22,-26.5
91,6919234.924331176,362096.1243035891,56.16,-25.799999999999997
92,6919239.980060311,362093.67832544155,56.11,-25.200000000000003
93,6919245.0579717485,362091.2910613851,56.06,-24.5
94,6919250.157800467,362088.962433671,56.02,-23.900000000000006
95,6919255.27935253,362086.6922220529,55.99,-23.299999999999997
96,6919260.422423997,362084.4803051705,55.96,-22.599999999999994
97,6919265.58697106,362082.32618236385,55.94,-22.0
98,6919270.772915862,362080.229484422,55.93,-21.400000000000006
99,6919275.980251597,362078.18971322756,55.92,-20.799999999999997
100,6919281.20903412,362076.20626082557,55.93,-20.200000000000003
101,6919286.4593747575,362074.2784246941,55.95,-19.599999999999994
102,6919291.731434097,362072.4054200787,55.98,-19.0
103,6919297.0253154645,362070.58659287804,56.01,-18.400000000000006
104,6919302.341253767,362068.82105923496,56.06,-17.799999999999997
105,6919307.679388375,362067.10811789794,56.12,-17.200000000000003
106,6919313.039894465,362065.4470225271,56.19,-16.700000000000003
107,6919318.422977357,362063.8369889197,56.26,-16.099999999999994
108,6919323.828867303,362062.2772012679,56.35,-15.5
109,6919329.257716151,362060.7669734309,56.45,-15.0
110,6919334.709825455,362059.30540417036,56.55,-14.5
111,6919340.18540077,362057.89173002687,56.67,-14.0
112,6919345.684683984,362056.5251408532,56.79,-13.400000000000006
113,6919351.207942582,362055.20479096874,56.92,-12.900000000000006
114,6919356.755460452,362053.9298083572,57.06,-12.5
115,6919362.327432336,362052.699430743,57.21,-12.0
116,6919367.924187308,362051.5127244629,57.37,-11.5
117,6919373.545945891,362050.36887557706,57.53,-11.0
118,6919379.192947941,362049.267040691,57.71,-10.599999999999994
119,6919384.86544123,362048.20635709725,57.89,-10.200000000000003
120,6919390.563578788,362047.1860593681,58.07,-9.700000000000003
121,6919396.287630693,362046.2052444087,58.27,-9.299999999999997
122,6919402.037752805,362045.26311697945,58.47,-8.900000000000006
123,6919407.814107326,362044.35886563663,58.67,-8.5
124,6919413.616851987,362043.49167169293,58.88,-8.099999999999994
125,6919419.446044058,362042.660808041,59.1,-7.700000000000003
126,6919425.301838887,362041.86544154806,59.31,-7.400000000000006
127,6919431.18427478,362041.104839962,59.54,-7.0
128,6919437.093386039,362040.37826776464,59.76,-6.700000000000003
129,6919443.029115264,362039.6850703544,59.99,-6.299999999999997
130,6919448.991562756,362039.02444082464,60.22,-6.0
131,6919454.9807938645,362038.39558659564,60.46,-5.700000000000003
132,6919460.9969267305,362037.7976486794,60.7,-5.400000000000006
133,6919467.040109065,362037.2297161219,60.94,-5.099999999999994
134,6919473.110431317,362036.69089954527,61.19,-4.799999999999997
135,6919479.20800865,362036.1802604943,61.44,-4.5
136,6919485.333025125,362035.6967675548,61.69,-4.299999999999997
137,6919491.485511924,362035.23948057025,61.95,-4.0
138,6919497.665568185,362034.80737139325,62.21,-3.799999999999997
139,6919503.873211437,362034.3994423145,62.47,-3.5
140,6919510.108447879,362034.0146714392,62.73,-3.299999999999997
141,6919516.37126212,362033.6520194719,63.0,-3.0999999999999943
142,6919522.661609397,362033.31043530465,63.26,-2.9000000000000057
143,6919528.979369021,362032.98889421567,63.52,-2.700000000000003
144,6919535.324400542,362032.68635672465,63.78,-2.5999999999999943
145,6919541.696536346,362032.4017738887,64.05,-2.4000000000000057
146,6919548.095544755,362032.1341170583,64.31,-2.200000000000003
147,6919554.521174201,362031.8823465616,64.56,-2.0999999999999943
148,6919560.973146803,362031.64541646943,64.82,-2.0
149,6919567.45115384,362031.4222785444,65.07,-1.9000000000000057
150,6919573.954833469,362031.21190070175,65.32,-1.7000000000000028
151,6919580.4838168565,362031.0132343697,65.57,-1.5999999999999943
152,6919587.0376833975,362030.8252481219,65.81,-1.5999999999999943
153,6919593.615970713,362030.64692355046,66.04,-1.5
154,6919600.218101521,362030.4773147839,66.27,-1.4000000000000057
155,6919606.843335985,362030.3155967201,66.49,-1.2999999999999972
156,6919613.490818482,362030.16104669776,66.7,-1.2999999999999972
157,6919620.159605003,362030.0130370739,66.91,-1.2000000000000028
158,6919626.848677611,362029.8710355775,67.1,-1.2000000000000028
159,6919633.556976983,362029.7345909298,67.28,-1.0999999999999943
160,6919640.283428888,362029.6033200583,67.45,-1.0999999999999943
161,6919647.026926569,362029.47692639695,67.61,-1.0
162,6919653.786379113,362029.35517018684,67.75,-1.0
163,6919660.560708517,362029.23787266325,67.89,-1.0
164,6919667.348846837,362029.1249206024,68.02,-0.9000000000000057
165,6919674.14975769,362029.0162528088,68.13,-0.9000000000000057
166,6919680.962455217,362028.91184618056,68.24,-0.7999999999999972
167,6919687.785963921,362028.8117443188,68.34,-0.7999999999999972
168,6919694.619371981,362028.7160199778,68.43,-0.7999999999999972
169,6919701.461815021,362028.62478398945,68.51,-0.7000000000000028
170,6919708.312477922,362028.53818224516,68.59,-0.7000000000000028
171,6919715.170577223,362028.45640693465,68.65,-0.5999999999999943
172,6919722.035403922,362028.379664325,68.71,-0.5999999999999943
173,6919728.906277773,362028.30820396286,68.77,-0.5
174,6919735.782595033,362028.2422828965,68.81,-0.5
175,6919742.6637759805,362028.18219927035,68.86,-0.4000000000000057
176,6919749.549379714,362028.12820706866,68.9,-0.4000000000000057
177,6919756.439173045,362028.08045238844,68.94,-0.29999999999999716
178,6919763.333083862,362028.0389871678,68.98,-0.29999999999999716
179,6919770.2311624205,362028.0037811959,69.02,-0.20000000000000284
180,6919777.13356653,362027.97471994057,69.07,-0.20000000000000284
181,6919784.040493918,362027.9516421516,69.12,-0.09999999999999432
182,6919790.952186704,362027.9343313163,69.17,-0.09999999999999432
183,6919797.868901528,362027.9225314713,69.22,-0.09999999999999432
184,6919804.790925564,362027.9159324238,69.28,0.0
185,6919811.718545899,362027.91418701806,69.33,0.0
186,6919818.651652339,362027.91691538255,69.38,0.09999999999999432
187,6919825.589969995,362027.9237077267,69.43,0.09999999999999432
188,6919832.533318278,362027.93413036375,69.48,0.09999999999999432
189,6919839.48160749,362027.9477227114,69.53,0.09999999999999432
190,6919846.434820288,362027.9640045182,69.58,0.20000000000000284
191,6919853.393002644,362027.9824777136,69.63,0.20000000000000284
192,6919860.356257777,362028.00262677734,69.69,0.20000000000000284
193,6919867.324730433,362028.0239257809,69.74,0.20000000000000284
194,6919874.298612671,362028.04583205545,69.8,0.20000000000000284
195,6919881.278120675,362028.06779869134,69.84,0.20000000000000284
196,6919888.262375053,362028.089258126,69.88,0.20000000000000284
197,6919895.250535902,362028.1096410099,69.91,0.20000000000000284
198,6919902.241953196,362028.1284704785,69.94,0.09999999999999432
199,6919909.236152971,362028.14538188523,69.97,0.09999999999999432
200,6919916.232802452,362028.16011017736,69.99,0.09999999999999432
201,6919923.231685495,362028.17248583393,70.01,0.09999999999999432
202,6919930.232666071,362028.1824082104,70.03,0.09999999999999432
203,6919937.235675354,362028.189845995,70.05,0.0
204,6919944.240694577,362028.19482920785,70.07,0.0
205,6919951.247740846,362028.19744213135,70.09,0.0
206,6919958.256855478,362028.1978170738,70.11,0.0
207,6919965.267850089,362028.1961266885,70.13,0.0
208,6919972.280548464,362028.1925851217,70.14,0.0
209,6919979.294835662,362028.1874398603,70.16,-0.09999999999999432
210,6919986.3106508665,362028.18096785626,70.17,-0.09999999999999432
211,6919993.327981058,362028.17347212206,70.19,-0.09999999999999432
212,6920000.3468554,362028.16527874564,70.2,-0.09999999999999432
213,6920007.367340272,362028.1567342792,70.22,-0.09999999999999432
214,6920014.389493898,362028.14820845216,70.23,-0.09999999999999432
215,6920021.412619457,362028.14008340734,70.23,-0.09999999999999432
216,6920028.436102446,362028.13275518705,70.23,0.0
217,6920035.459405194,362028.12663190556,70.23,0.0
218,6920042.482061502,362028.1221321587,70.22,0.0
219,6920049.503707216,362028.1196574975,70.2,0.0
220,6920056.524160667,362028.11952479725,70.19,0.0
221,6920063.543015687,362028.12198601314,70.17,0.0
222,6920070.559944734,362028.12724440236,70.15,0.09999999999999432
223,6920077.574732128,362028.13544222596,70.13,0.09999999999999432
224,6920084.587241259,362028.1466776559,70.1,0.09999999999999432
225,6920091.597401402,362028.16101020825,70.08,0.09999999999999432
226,6920098.605196487,362028.17846552416,70.05,0.20000000000000284
227,6920105.610655565,362028.19903957035,70.03,0.20000000000000284
228,6920112.613834488,362028.22270901373,70.01,0.20000000000000284
229,6920119.614832469,362028.24941953394,69.99,0.20000000000000284
230,6920126.613772636,362028.2790970814,69.97,0.29999999999999716
231,6920133.610797251,362028.3116503259,69.95,0.29999999999999716
232,6920140.606063702,362028.34697279776,69.94,0.29999999999999716
233,6920147.599741155,362028.3849447615,69.92,0.29999999999999716
234,6920154.592007759,362028.4254348543,69.91,0.4000000000000057
235,6920161.583053909,362028.4682978963,69.9,0.4000000000000057
236,6920168.57306719,362028.5133844625,69.89,0.4000000000000057
237,6920175.5622387305,362028.5605371327,69.89,0.4000000000000057
238,6920182.550761858,362028.6095914733,69.88,0.4000000000000057
239,6920189.5388310095,362028.66037689685,69.88,0.4000000000000057
240,6920196.526656311,362028.7127074217,69.88,0.4000000000000057
241,6920203.514548684,362028.76632629376,69.89,0.4000000000000057
242,6920210.502916053,362028.82090479176,69.9,0.5
243,6920217.492246239,362028.87604985177,69.91,0.5
244,6920224.483091452,362028.9313113943,69.92,0.4000000000000057
245,6920231.475187232,362028.986189701,69.93,0.4000000000000057
246,6920238.46807134,362029.04013105476,69.93,0.4000000000000057
247,6920245.461344219,362029.09254254017,69.94,0.4000000000000057
248,6920252.454667879,362029.1427968764,69.93,0.4000000000000057
249,6920259.447764093,362029.19023662084,69.93,0.4000000000000057
250,6920266.440423319,362029.2341951667,69.92,0.29999999999999716
251,6920273.432476494,362029.2739641787,69.91,0.29999999999999716
252,6920280.423806776,362029.30881466425,69.91,0.20000000000000284
253,6920287.414346364,362029.3379992246,69.9,0.20000000000000284
254,6920294.404073252,362029.3607539441,69.89,0.09999999999999432
255,6920301.393007968,362029.37629995606,69.88,0.09999999999999432
256,6920308.38121035,362029.3838447245,69.87,0.0
257,6920315.368595732,362029.38258310594,69.85,-0.09999999999999432
258,6920322.35393494,362029.37170094484,69.82,-0.20000000000000284
259,6920329.336058449,362029.3503808944,69.78,-0.29999999999999716
260,6920336.313850368,362029.3178037692,69.73,-0.4000000000000057
261,6920343.286211561,362029.27311139356,69.66,-0.5
262,6920350.252403677,362029.21583022305,69.6,-0.5999999999999943
263,6920357.212204733,362029.1460633248,69.54,-0.7000000000000028
264,6920364.16584515,362029.06441691855,69.49,-0.7999999999999972
265,6920371.113950549,362028.9719357759,69.44,-0.7999999999999972
266,6920378.057490492,362028.870047183,69.41,-0.9000000000000057
267,6920384.99773252,362028.7605129109,69.39,-1.0
268,6920391.936200952,362028.64538849425,69.39,-1.0
269,6920398.874639988,362028.5269890518,69.41,-1.0
270,6920405.814980697,362028.4078608728,69.41,-1.0
271,6920412.754806564,362028.29079129087,69.36,-0.9000000000000057
272,6920419.690340445,362028.1788079136,69.29,-0.9000000000000057
273,6920426.6182135455,362028.0750699535,69.18,-0.7999999999999972
274,6920433.535555206,362027.98276310624,69.05,-0.5999999999999943
275,6920440.439880409,362027.90513565036,68.89,-0.5
276,6920447.329069912,362027.8454751607,68.72,-0.29999999999999716
277,6920454.201346757,362027.8070889171,68.54,-0.09999999999999432
278,6920461.055250519,362027.79328761896,68.33,0.09999999999999432
279,6920467.887778979,362027.80725604936,68.07,0.4000000000000057
280,6920474.694182403,362027.8519947639,67.76,0.7000000000000028
281,6920481.469784731,362027.9305286905,67.42,1.0
282,6920488.210410612,362028.04562278575,67.04,1.2999999999999972
283,6920494.912574032,362028.19965125027,66.66,1.7000000000000028
284,6920501.575475314,362028.3933921948,66.3,2.0
285,6920508.201253729,362028.62588208553,65.98,2.299999999999997
286,6920514.794175248,362028.8948866751,65.73,2.5999999999999943
287,6920521.360188192,362029.1971449036,65.55,2.9000000000000057
288,6920527.906585519,362029.52853646857,65.45,3.0999999999999943
289,6920534.441638814,362029.8842499511,65.43,3.299999999999997
290,6920540.974345029,362030.2588774905,65.52,3.4000000000000057
291,6920547.5144146355,362030.6463679087,65.7,3.4000000000000057
292,6920554.072150799,362031.040026037,65.92,3.4000000000000057
293,6920560.652018534,362031.43208163144,66.06,3.299999999999997
294,6920567.2468930585,362031.81317622587,66.14,3.0999999999999943
295,6920573.850606896,362032.1733355158,66.15,2.799999999999997
296,6920580.457835801,362032.5020662107,66.12,2.5
297,6920587.0638143895,362032.78816758306,66.04,2.0
298,6920593.66416584,362033.0197332386,65.93,1.4000000000000057
299,6920600.2551175095,362033.18482407817,65.78,0.7000000000000028
300,6920606.832653565,362033.2704523813,65.6,-0.09999999999999432
301,6920613.3922026185,362033.2637717116,65.24,-1.0
302,6920619.915642513,362033.15156805585,64.73,-2.0
303,6920626.384853907,362032.9215214911,64.07,-3.200000000000003
304,6920632.7819083445,362032.56248881185,63.27,-4.5
305,6920639.089314471,362032.0647521837,62.35,-5.900000000000006
306,6920645.291369369,362031.42121186457,61.37,-7.400000000000006
307,6920651.376585835,362030.62912512117,60.35,-9.0
308,6920657.338434933,362029.68986276275,59.36,-10.5
309,6920663.1747481935,362028.6076115872,58.41,-12.0
310,6920668.887421539,362027.3885953415,57.54,-13.599999999999994
311,6920674.481018603,362026.0397715635,56.75,-15.0
312,6920679.962050506,362024.5682827464,56.06,-16.400000000000006
313,6920685.3383503985,362022.98110886023,55.46,-17.799999999999997
314,6920690.618562326,362021.2848745499,54.96,-19.099999999999994
315,6920695.81204239,362019.48591847415,54.56,-20.299999999999997
316,6920700.927867022,362017.5899330785,54.25,-21.5
317,6920705.975287338,362015.6023194532,54.02,-22.599999999999994
318,6920710.963022622,362013.5279917117,53.87,-23.599999999999994
319,6920715.899333404,362011.371516739,53.79,-24.5
320,6920720.792247213,362009.1372902143,53.78,-25.400000000000006
321,6920725.649508283,362006.82958819735,53.82,-26.200000000000003
322,6920730.478453751,362004.4525808489,53.92,-26.900000000000006
323,6920735.286110004,362002.0104115808,54.07,-27.599999999999994
324,6920740.0792761,361999.507261874,54.27,-28.099999999999994
325,6920744.864596186,361996.94740534306,54.51,-28.599999999999994
326,6920749.648622632,361994.33525377826,54.78,-29.0
327,6920754.437871251,361991.67539729783,55.09,-29.400000000000006
328,6920759.238869806,361988.9726403217,55.44,-29.599999999999994
329,6920764.0583089795,361986.23206710484,55.82,-29.799999999999997
330,6920768.903013439,361983.45906000986,56.23,-29.900000000000006
331,6920773.779347955,361980.65915083623,56.66,-29.900000000000006
332,6920778.692761157,361977.83787295106,56.98,-29.799999999999997
333,6920783.63763284,361975.00694738125,57.21,-29.700000000000003
334,6920788.609506093,361972.1767106295,57.37,-29.400000000000006
335,6920793.604903683,361969.3565031931,57.46,-29.200000000000003
336,6920798.621131054,361966.55476270366,57.5,-28.900000000000006
337,6920803.6561654555,361963.77871612005,57.49,-28.5
338,6920808.70844786,361961.0349225738,57.45,-28.099999999999994
339,6920813.776813025,361958.32914238743,57.39,-27.599999999999994
340,6920818.8603987405,361955.6664358297,57.3,-27.200000000000003
341,6920823.958574121,361953.05125362123,57.19,-26.599999999999994
342,6920829.070883222,361950.48751848284,57.07,-26.099999999999994
343,6920834.19694499,361947.9789379951,56.94,-25.5
344,6920839.336549427,361945.5285458423,56.8,-24.900000000000006
345,6920844.489552078,361943.1390463357,56.66,-24.200000000000003
346,6920849.655854016,361940.812862153,56.51,-23.599999999999994
347,6920854.835386468,361938.55217562785,56.37,-22.900000000000006
348,6920860.028099068,361936.35896434163,56.22,-22.200000000000003
349,6920865.233950997,361934.2350317271,56.08,-21.5
350,6920870.452904385,361932.1820333359,55.94,-20.700000000000003
351,6920875.6849195305,361930.201499361,55.81,-20.0
352,6920880.929951527,361928.29485393944,55.68,-19.200000000000003
353,6920886.188083728,361926.4631540751,55.56,-18.400000000000006
354,6920891.459216673,361924.707712906,55.44,-17.599999999999994
355,6920896.743404013,361923.02948928036,55.33,-16.799999999999997
356,6920902.040497227,361921.42971885466,55.24,-16.0
357,6920907.350673375,361919.9090565958,55.15,-15.099999999999994
358,6920912.674384343,361918.4676841167,55.09,-14.299999999999997
359,6920918.012319254,361917.10539192753,55.05,-13.5
360,6920923.36537178,361915.8216491573,55.03,-12.700000000000003
361,6920928.7346118465,361914.6156615857,55.04,-11.799999999999997
362,6920934.121261015,361913.4864194353,55.07,-11.0
363,6920939.526670933,361912.4327362874,55.13,-10.200000000000003
364,6920944.952304408,361911.4532803613,55.23,-9.5
365,6920950.399897956,361910.54640082933,55.35,-8.700000000000003
366,6920955.871028063,361909.7105926849,55.49,-7.900000000000006
367,6920961.367349478,361908.9442543202,55.67,-7.200000000000003
368,6920966.890750892,361908.2455323759,55.88,-6.5
369,6920972.44294391,361907.6127075637,56.12,-5.799999999999997
370,6920978.025691916,361907.04398274975,56.38,-5.200000000000003
371,6920983.640797392,361906.5374877472,56.67,-4.5
372,6920989.290090397,361906.0912815829,56.98,-3.9000000000000057
373,6920994.97527827,361905.7034703687,57.33,-3.299999999999997
374,6921000.698266798,361905.3719398222,57.69,-2.799999999999997
375,6921006.460826097,361905.0946044633,58.08,-2.200000000000003
376,6921012.264763342,361904.8692678638,58.5,-1.7000000000000028
377,6921018.111800948,361904.6937020883,58.93,-1.2000000000000028
378,6921024.003808711,361904.56546605326,59.39,-0.7999999999999972
379,6921029.942472275,361904.48212641425,59.87,-0.4000000000000057
380,6921035.929608936,361904.44102610013,60.37,0.0
381,6921041.966964083,361904.43940414925,60.85,0.29999999999999716
382,6921048.05180676,361904.47432993155,61.31,0.5999999999999943
383,6921054.181993945,361904.54264271265,61.74,0.9000000000000057
384,6921060.355471721,361904.6413793599,62.16,1.2000000000000028
385,6921066.570187356,361904.76781375986,62.56,1.4000000000000057
386,6921072.82407955,361904.91945142107,62.93,1.5999999999999943
387,6921079.11504821,361905.09403816017,63.29,1.7999999999999972
388,6921085.440990514,361905.2895309577,63.62,1.9000000000000057
389,6921091.7997781215,361905.50410389603,63.94,2.0999999999999943
390,6921098.189292492,361905.73612104834,64.23,2.200000000000003
391,6921104.6074054735,361905.9841409741,64.5,2.299999999999997
392,6921111.052013518,361906.24689082796,64.75,2.4000000000000057
393,6921117.521042339,361906.52325682703,64.98,2.5
394,6921124.012452206,361906.8122743482,65.19,2.5999999999999943
395,6921130.5242186235,361907.1131320979,65.38,2.700000000000003
396,6921137.054366322,361907.42514652223,65.55,2.799999999999997
397,6921143.600946282,361907.74776759674,65.7,2.9000000000000057
398,6921150.162097816,361908.0805372674,65.83,3.0
399,6921156.735989498,361908.42311429686,65.94,3.0999999999999943
400,6921163.320854945,361908.7752478934,66.04,3.0999999999999943
401,6921169.914994004,361909.13676963554,66.12,3.200000000000003
402,6921176.516773443,361909.5075857919,66.19,3.299999999999997
403,6921183.124627156,361909.8876700729,66.24,3.4000000000000057
404,6921189.737017695,361910.2770779519,66.28,3.4000000000000057
405,6921196.352518811,361910.67589579907,66.3,3.5
406,6921202.9697282575,361911.0842805957,66.31,3.5999999999999943
407,6921209.587632741,361911.50225600664,66.32,3.700000000000003
408,6921216.205666639,361911.92966364964,66.32,3.799999999999997
409,6921222.8237094,361912.3661464845,66.33,3.799999999999997
410,6921229.441952818,361912.8112030679,66.34,3.9000000000000057
411,6921236.060880534,361913.26418636314,66.36,4.0
412,6921242.681223641,361913.7243162082,66.39,4.0
413,6921249.303894804,361914.1907048518,66.43,4.099999999999994
414,6921255.929968193,361914.6623604347,66.48,4.099999999999994
415,6921262.56063523,361915.1382039813,66.54,4.099999999999994
416,6921269.197200118,361915.6170668354,66.61,4.099999999999994
417,6921275.841049818,361916.0977016969,66.7,4.099999999999994
418,6921282.4932556925,361916.57878170325,66.76,4.099999999999994
419,6921289.152115538,361917.0586900553,66.81,4.099999999999994
420,6921295.816191835,361917.53576951683,66.85,4.099999999999994
421,6921302.484306139,361918.00836562517,66.87,4.0
422,6921309.155477391,361918.47476273094,66.89,3.9000000000000057
423,6921315.8289237,361918.9332261067,66.9,3.799999999999997
424,6921322.504066992,361919.3820552323,66.91,3.700000000000003
425,6921329.1804578025,361919.81948721665,66.91,3.5999999999999943
426,6921335.857820681,361920.2438099007,66.91,3.5
427,6921342.536001747,361920.65330612997,66.9,3.4000000000000057
428,6921349.214919901,361921.04618954787,66.9,3.200000000000003
429,6921355.8947346,361921.42093396134,66.91,3.0999999999999943
430,6921362.576324064,361921.7772354368,66.93,2.9000000000000057
431,6921369.261172,361922.1160396166,66.98,2.799999999999997
432,6921375.951125291,361922.4393160865,67.04,2.700000000000003
433,6921382.648263085,361922.7499813586,67.13,2.5999999999999943
434,6921389.354760805,361923.05179703864,67.25,2.5
435,6921396.072775117,361923.3492893252,67.38,2.5
436,6921402.803681357,361923.6476564212,67.4,2.5999999999999943
437,6921409.536748282,361923.95220752887,67.32,2.700000000000003
438,6921416.260888813,361924.2688871258,67.12,2.9000000000000057
439,6921422.964935595,361924.60405083024,66.83,3.0999999999999943
440,6921429.638019738,361924.9641725064,66.43,3.4000000000000057
441,6921436.269088038,361925.3560223192,65.92,3.700000000000003
442,6921442.847288327,361925.78637696407,65.32,4.200000000000003
443,6921449.362439594,361926.2616918565,64.63,4.700000000000003
444,6921455.804259663,361926.7884242294,63.86,5.200000000000003
445,6921462.163837128,361927.37223996455,63.02,5.900000000000006
446,6921468.4321589535,361928.0186801015,62.1,6.599999999999994
447,6921474.601286892,361928.7325769159,61.14,7.400000000000006
448,6921480.664386063,361929.51803667954,60.13,8.200000000000003
449,6921486.615735919,361930.37844891404,59.1,9.099999999999994
450,6921492.450724629,361931.316518161,58.04,10.099999999999994
451,6921498.165152592,361932.3345573188,57.0,11.099999999999994
452,6921503.757836853,361933.4336317401,55.99,12.200000000000003
453,6921509.2312982185,361934.6134973778,55.07,13.200000000000003
454,6921514.592001313,361935.87271988153,54.23,14.299999999999997
455,6921519.847886258,361937.209516504,53.51,15.299999999999997
456,6921525.00877956,361938.6217198525,52.89,16.299999999999997
457,6921530.085040566,361940.107140961,52.39,17.299999999999997
458,6921535.087149277,361941.6636530227,51.99,18.200000000000003
459,6921540.02507766,361943.28928878217,51.69,19.099999999999994
460,6921544.908638552,361944.9821417514,51.48,20.0
461,6921549.747334275,361946.74035484897,51.37,20.799999999999997
462,6921554.550031778,361948.56212956144,51.33,21.5
463,6921559.32509163,361950.4456717729,51.37,22.200000000000003
464,6921564.080641485,361952.389124523,51.49,22.900000000000006
465,6921568.824270629,361954.3905690975,51.67,23.5
466,6921573.563463159,361956.447953912,51.91,24.0
467,6921578.305485325,361958.5590745302,52.21,24.5
468,6921583.057463563,361960.7215405517,52.57,24.900000000000006
469,6921587.826525157,361962.93273792986,52.98,25.200000000000003
470,6921592.619876324,361965.1897940183,53.45,25.5
