Time,T1_Alpha_OT,T1_Distance,T1_Speed,T2_Alpha_OT,T2_Distance,T2_Speed,T3_Alpha_OT,T3_Distance,T3_Speed,T4_Alpha_OT,T4_Distance,T4_Speed,T5_Alpha_OT,T5_Distance,T5_Speed
187,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
188,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
189,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
190,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
191,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
192,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
193,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
194,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
195,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
196,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
197,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
198,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
199,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
200,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
201,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
202,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
203,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
204,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
205,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
206,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
207,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
208,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
209,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
210,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
211,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
212,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
213,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
214,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
215,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
216,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
217,219.27,2.499,0.882,108.98,1.215,0.702,129.176,1.219,0.718,121.78,2.171,0.781,2.071,3720.012,0
